,stolbec,answer
0,Авария .,1
1,Слева и справа — грустным планом шестнадцатиэтажки .,1
2,"На глазах , перед зеркалом стоя , дурнеет красавица .",1
3,"Это было над Камой крылатою , сине-черною , именно там , где беззубую песню бесплатную пушкинистам кричал Мандельштам .",1
4,"И беспокоен мой покой , и счастье счастья не приносит.На землю падает листва , но долго кружится вначале .",1
5,"А женщина , что не была со мной , Альбом откроет и закурит важно .",1
6,"['Вот', 'и', 'лупит', 'по', 'струнам', 'дурак.Эта', 'песня', ',', 'он', 'сам', 'ее', 'разве', 'сочинил', ',', 'разве', 'слышал', 'в', 'кино', ',', 'ибо', 'я', 'ничего', 'безобразней', 'этой', 'песни', 'не', 'слыхивал', '.']",0
7,"Рейн Евгений Борисыч уходит в ночь , в белом плаще английском уходит прочь .",1
8,С какой перемены в каком направленье уйти ?,1
9,"Эх , за десять баксов к дому милой — ну ты и придурок , скажет киса .",1
10,"['Я', 'вас', 'любил', ',', 'любовь…', 'Еще', ':', 'что', 'б', 'вы', 'ни', 'делали', ',', 'красавцы', ',', 'как', 'вам', 'б', 'страдать', 'ни', 'довелось', ',', 'рожденны', 'после', 'нас', 'мерзавцы', 'на', 'вас', 'меня', 'посмотрят', 'сквозь', '.']",0
11,А она меня очень ждала .,1
12,"Что-то слишком расширился мой кругозор , а когда-то был равен двору .",1
13,"Но все равно , кино кончается , и все кончается на свете : толпа уходит , и валяется сын человеческий в буфете .",1
14,"Но где бы мне ни выпало остыть , В Париже знойном , Лондоне промозглом , Мой жалкий прах советую зарыть На безымянном кладбище свердловском .",1
15,"До пупа сорвав обноски , с нар сползают фраера , на спине Иосиф Бродский напортачен у бугра —начинаются разборки за понятья , за наколки.Разрываю сальный ворот : душу мне не береди .",1
16,"Начинается снег , и навстречу движению снега поднимается вверх — допотопное слово — душа .",1
17,"Любимые , вы только посмотрите на наши лица !",1
18,Почти что новый « Беларусь » .,1
19,"И исчезнут морщины у глаз , у рта , ты ребенком станешь — о , навсегда !",1
20,"А ну назад , где облака летели , где , полыхая , клёны облетели , туда , где до твоей кончины , Эля , ещё неделя .",1
21,…Но мы уже летим в стеклянном шаре .,1
22,"['Все', 'прочее', '—', 'литература', '.']",0
23,"['Побренчи', 'же', 'еще', ',', 'побренчи', '.']",0
24,"Ни для чего и низачем , а просто так и между тем оставь меня , когда мне больно , уйди , оставь меня совсем .",1
25,"А относительно пения — песня легко то форму города некоего принимает , то повисает над городом , как облакo .",1
26,"Пусть Вторчермет гудит своей трубой , Пластполимер пускай свистит протяжно .",1
27,"Она откроет голубой альбом , Где лица наши будущим согреты , Где живы мы , в альбоме голубом , Земная шваль : бандиты и поэты .",1
28,"Зайду на кухню , оп , два ангела за чаем .",1
29,"['Эх', ',', 'посыпался', 'песочек', '!']",0
30,"['Все', ',', 'и', 'помнить', 'не', 'обещай', ',', 'сниться', 'не', 'позабудь.Не', 'печалься', 'и', 'не', 'грусти', '.']",0
31,"Где обрывается память , начинается старая фильма , играет старая музыка какую-то дребедень .",1
32,"['Думал', ',', 'всё', ',', 'труба', ',', 'приехал', 'ты', ',', 'Борис', 'Борисыч', ',', 'милый', '.']",0
33,Приехали .,1
34,"Он рек мне , змий , на солнце очи щуря : вот ты поэт , а я зелёный змей , закуривай , присядь со мною , керя , водяру пей ; там наверху вертлявые драконы пускают дым , беснуются — скоты , иди в свои промышленные зоны , давай на « ты » .",1
35,"Потому уменьшительных суффиксов не люблю , и когда постучат и попросят с улыбкою уксуса , я исполню желанье ребят .",1
36,Ночь .,1
37,"Где и с кем , и когда это было , только это не я сочинил : ты меня никогда не любила , это я тебя очень любил .",1
38,"…Когда ты уйдешь , когда я умру .",1
39,"['Ну', ',', 'пока', ',', 'молодость', ',', 'говорю', ',', 'прощай', '.']",0
40,Не приеду никогда .,1
41,"И да не дрогнула б рука , сказал , кого.Но если честным быть в конце и до конца — лицо свое , в своем лице лицо отца.За этот сумрак , этот мрак , что свыше сил , я так люблю его , я так его любил.Как эти реки , облака и виражи стиха , не дрогнула б строка , как эту жизнь .",1
42,"Впрочем , это пистолет.Вдруг Синицын : « Стоп , машина » .",1
43,"['Я', 'по', 'листьям', 'сухим', 'не', 'бродил', 'с', 'сыном', 'за', 'руку', ',', 'за', 'облаками', ',', 'обретая', 'покой', ',', 'не', 'следил', ',', 'не', 'аллеями', 'шел', ',', 'а', 'дворами.Только', 'в', 'песнях', 'страдал', 'и', 'любил', '.']",0
44,В последнем ряду — пиво и сигарета .,1
45,"А я протягиваю руку : уже хорош , давай сюда !",1
46,"Живи , другого не дано !",1
47,Рукой своей касаюсь невзначай её руки .,1
48,"Домофон загудит , телефон зазвонит — суета.Надо дачу сначала купить , чтобы лес и река в сентябре начинали грустить для меня дурака .",1
49,Ведь не начнётся никогда .,1
50,Каптерка .,1
51,Я помню запах листьев прелых и запах неба голубой .,1
52,"Я за чтением зренье садил да коверкал язык иностранным.Мне бы как-нибудь дошкандыбать до посмертной серебряной ренты , а ему , дармоеду , плевать на аплодисменты.Это , — бей его , ребя !",1
53,"Как дурень , стою на краю , да и только : не знаю , как быть , и что делать — не знаю .",1
54,"И от подобных перспектив на случай абсолютной боли не слишком тягостен мотив тоски , неволи .",1
55,"['А', 'из', 'ноги', 'я', 'выгоду', 'извлек', ':', 'я', 'трость', 'себе', 'купил', 'и', 'с', 'тростью', 'этой', 'прекраснейшей', 'ходил', 'туда-сюда', ',', 'как', 'некий', 'князь', ',', 'и', 'нравился', '—', 'о', 'да', '!']",0
56,Иванов .,1
57,"['Но', 'кого', 'ты', 'обманешь', '!']",0
58,"Шарф размотай , потом сними перчатки , смотри не плачь .",1
59,"Когда в подъездах закрывают двери и светофоры смотрят в небеса , я перед сном гуляю в этом сквере , с завидной регулярностью , по мере возможности , по полтора часа .",1
60,"Представь себе… А впрочем , что ты знаешь про наши про охотничьи дела !",1
61,"['В', 'обновы', 'чучела', 'оденут', '.']",0
62,"И , предвкушая вечную разлуку , не оттолкнет .",1
63,"Последняя неделя лета , на нас глядят Алена , Света , все прыгнули , а я не смог , что очень плохо для поэта .",1
64,"['Плыли', 'дымы', 'из', 'труб', ',', 'и', 'летели', 'кругом', 'облака', '.']",0
65,"['И', 'рыдает', 'за', 'страшной', 'стеною', 'тот', ',', 'кому', 'я', 'оставлю', 'тебя', '.']",0
66,"Мне на плечи бросается век-волкодав , я сжимаю от боли виски .",1
67,"Вообще одинок , как разбитый полк : ваш Петербург больше похож на Нью-Йорк .",1
68,Как говорить о Бродском при нем нельзя .,1
69,"Пойду в общагу ПТУ , гусар , повеса из повес .",1
70,"Пьют и плачут , девок обнимают , снова пьют и всё-таки молчат , головой тонически качают , матом силлабически кричат .",1
71,"Над речкой с татарским названием Обью два месяца прожил , а может быть , дольше , не ради того , чтобы жизнь мою снова начать , чтоб былое достойно продолжить .",1
72,"О удивление : как , у вас нет пистолета ?",1
73,"День рождения у Кости , и кончается вино : ты сегодня младший , брат , три литрухи и назад.И бегу , забыв весь свет , на меня одна надежда .",1
74,Ерёменко медные трубы в душе моей детской звучали .,1
75,И я тебя целую впопыхах .,1
76,"Зимой под синими облаками в санях идиотских дышу в ладони , бормоча известное : « Эх вы , сани !",1
77,"['Портвейн', 'с', 'закускою', 'приносит', 'как', 'бы', 'половой', '.']",0
78,Лучше лежать в могиле .,1
79,Звезда .,1
80,"Летят снежинки аккуратные… С антресолей достану « ТТ » , покручу-поверчу — я ещё поживу и т. д. , а пока не хочу этот свет покидать , этот свет , этот город и дом .",1
81,"И за это , за это , за это , за это эта Н. целовала меня .",1
82,Грядет расплата .,1
83,Что ж вы не взяли ?,1
84,Боже мой !,1
85,Моют хмурые ребята мотоциклы у реки .,1
86,Дай нищему на опохмелку денег .,1
87,"Звучит и давит на виски мотив тоски , мотив неволи .",1
88,Загар бронёю на узбеке .,1
89,Смахнешь рукою крошки со стола .,1
90,"Всё , что умел забыть и ненавидеть .",1
91,"Здесь меня брали за руку , тут поднимали на руки , в открытом кинотеатре показывали кино .",1
92,И наполнится небо огнями .,1
93,Летят снежинки аккуратные .,1
94,Из второго цеха — гости .,1
95,"Дождь , дождь идет , достанем зонтик , — на много , много , много лет вот этот дождик тебе , мой свет .",1
96,"Я верю , мы живем по кругу , не умираем никогда .",1
97,"['Дай', 'мне', 'денег', ',', 'я', 'двину', 'к', 'собору', ',', 'эти', 'свечи', 'поставлю', ',', 'отвечу', 'добром', 'на', 'добро', '.']",0
98,"Я представляю все равно гитары , песни и туманы .",1
99,"['Женя', ',', 'что', 'ли', ',', 'что', 'бегал', 'за', 'водкой', 'и', 'Багрицкого', 'знал', 'наизусть…', 'Кто', 'мою', 'зажигалку', 'отмел', '?']",0
